player_id,name,age,goals,assists,yellow_cards,red_cards,role,market_value
560761,Sahal Abdul Samad,29,6.0,6.0,6.0,1.0,midfielder,
560763,Henry Hore,27,6.0,6.0,5.0,1.0,attacker,380000.0
560797,Jin-woo Jeon,27,6.0,6.0,5.0,1.0,attacker,
560798,Jeong-hoon Choi,27,6.0,5.0,5.0,1.0,attacker,
560827,Walter Scott,27,3.0,4.0,7.0,1.0,defender,250000.0
560873,Mohamed Boulacsout,28,3.0,5.0,9.0,1.0,defender,
560881,Eskild Dall,23,1.0,2.0,1.0,1.0,attacker,200000.0
560903,Patrick William,29,4.0,1.0,31.0,1.0,defender,920000.0
560917,Xuan Manh Pham,30,3.0,5.0,9.0,1.0,defender,
560952,Ahmed Basil Fadhil,30,1.0,1.0,3.0,1.0,goalkeeper,
560956,Safaa Hadi,28,3.0,3.0,2.0,1.0,midfielder,475000.0
560957,Ibrahim Bayesh,26,6.0,6.0,6.0,1.0,midfielder,
560958,Alaa Abbas,33,1.0,4.0,5.0,1.0,attacker,260000.0
560987,Bilal Al-Balushi,30,1.0,1.0,3.0,1.0,goalkeeper,
560989,Ibrahim Al-Mukhaini,29,1.0,1.0,3.0,1.0,goalkeeper,
560991,Majid Al-Saadi,30,3.0,2.0,9.0,1.0,defender,
560992,Thani Al-Rushaidi,31,3.0,2.0,9.0,1.0,defender,
560993,Al-Mandhar Al-Alawi,31,6.0,5.0,5.0,1.0,attacker,
560995,Mataz Saleh,30,5.0,5.0,8.0,1.0,midfielder,
560996,Muhsen Al-Ghassani,29,8.0,4.0,5.0,1.0,attacker,
560997,Zahir Al-Aghbari,27,6.0,5.0,5.0,1.0,attacker,
560999,Abdullah Fawaz,30,5.0,5.0,8.0,1.0,midfielder,
561000,Ahmed Al-Kaabi,30,3.0,4.0,7.0,1.0,defender,
561027,Youssef Ayman,27,3.0,2.0,9.0,1.0,defender,375000.0
561030,Ahmed Suhail,27,3.0,2.0,9.0,1.0,defender,
561049,Tass Mourdoukoutas,27,3.0,2.0,9.0,1.0,defender,260000.0
561078,Yudai Tanaka,30,1.0,1.0,3.0,1.0,goalkeeper,170000.0
561099,Valpuia,26,3.0,5.0,9.0,1.0,defender,
561150,Vittorio Agostinelli,24,6.0,6.0,6.0,1.0,midfielder,100000.0
561212,Yu-min Cho,29,3.0,2.0,9.0,1.0,defender,
561213,Byeong-chan Choe,30,6.0,6.0,5.0,1.0,attacker,210000.0
561217,Oday Dabbagh,27,23.0,4.0,9.0,1.0,attacker,1260000.0
561241,Hein Phyo Win,28,3.0,5.0,9.0,1.0,defender,
561260,Bruno Leite,34,3.0,5.0,9.0,1.0,defender,100000.0
561337,Soya Fujiwara,31,3.0,5.0,9.0,1.0,defender,
561403,Hyun-woo Kim,27,3.0,2.0,9.0,1.0,defender,360000.0
561452,Dan Chesters,24,4.0,4.5,5.0,1.0,midfielder,210000.0
561481,Saed Al-Rosan,29,3.0,2.0,9.0,1.0,defender,
561484,Matt Sutton,26,1.0,1.0,3.0,1.0,goalkeeper,400000.0
561485,Noor Al-Rawabdeh,29,5.0,5.0,8.0,1.0,midfielder,
561613,Joan García,25,1.0,1.0,3.0,1.0,goalkeeper,40000000.0
561614,Javier Almerge,25,3.0,5.0,9.0,1.0,defender,50000.0
561647,Kaan Caliskaner,27,5.0,5.0,8.0,1.0,midfielder,
561650,Louis D'Arrigo,25,3.0,3.0,10.0,1.0,midfielder,400000.0
561653,Yves Kouadio,26,3.0,5.0,9.0,1.0,defender,75000.0
561699,Ahmed Ersan,31,6.0,5.0,5.0,1.0,attacker,
561702,Gaizka Ayesa,25,1.0,1.0,3.0,1.0,goalkeeper,440000.0
561745,Lautaro de León,25,1.0,1.0,1.0,1.0,attacker,300000.0
561747,Yuba-Rayane Yesli,27,1.0,1.0,3.0,1.0,goalkeeper,
561856,Nikita Kolotievskiy,25,3.0,4.0,4.0,1.0,midfielder,70000.0
561875,Danylo Khmelovskyi,27,1.0,1.0,3.0,1.0,goalkeeper,
561883,Kirill Kosarev,25,8.0,1.0,1.0,1.0,attacker,230000.0
561885,Yegor Shalfeev,28,5.0,5.0,8.0,1.0,midfielder,150000.0
561921,Wei Yu,27,3.0,5.0,9.0,1.0,defender,25000.0
561974,Vladyslav Veremeev,28,3.0,2.0,9.0,1.0,defender,80000.0
562005,Richard Sila,28,8.0,4.0,5.0,1.0,attacker,210000.0
562022,Akmal Mozgovoy,27,5.0,5.0,8.0,1.0,midfielder,
562030,Musa Juwara,24,4.0,10.0,10.0,1.0,attacker,1040000.0
562049,Edoardo Bove,24,5.0,5.0,11.0,1.0,midfielder,7600000.0
562058,Sergio Barcia,25,1.0,1.0,2.0,1.0,defender,500000.0
562060,Gauthier Banaziak,29,1.0,1.0,3.0,1.0,goalkeeper,150000.0
562175,Ronny Labonne,29,3.0,5.0,9.0,1.0,defender,600000.0
562185,Ahmed Al-Khamisi,34,3.0,2.0,9.0,1.0,defender,
562254,Kyle Taylor,27,5.0,5.0,8.0,1.0,midfielder,200000.0
562255,David Wieser,24,3.0,3.0,10.0,1.0,midfielder,175000.0
562256,Mikael Ndjoli,27,2.0,1.0,2.0,1.0,attacker,110000.0
562257,Shaun Hobson,28,3.0,2.0,9.0,1.0,defender,
562259,Antonio Mionic,25,5.0,5.0,8.0,1.0,midfielder,125000.0
562275,Nassim el Ablak,26,6.0,6.0,6.0,1.0,midfielder,75000.0
562284,Nemanja Tekijaski,29,3.0,2.0,9.0,1.0,defender,720000.0
562287,Christian Celesia,24,3.0,2.0,9.0,1.0,defender,130000.0
562314,Stefan Westra,25,3.0,5.0,9.0,1.0,defender,
562357,Hyeon-sik Lee,30,6.0,6.0,6.0,1.0,midfielder,510000.0
562383,Tristan Blackmon,30,3.0,2.0,9.0,1.0,defender,3500000.0
562387,Chris Mueller,30,6.0,6.0,5.0,1.0,attacker,940000.0
562388,Mason Toye,28,8.0,4.0,5.0,1.0,attacker,
562389,Brandon Bye,30,3.0,5.0,9.0,1.0,defender,2140000.0
562391,Ema Twumasi,29,3.0,5.0,9.0,1.0,defender,720000.0
562409,Afeez Aremu,27,3.0,1.0,1.0,1.0,midfielder,660000.0
562463,Lucas Llort,27,3.0,4.0,7.0,1.0,defender,100000.0
562475,Aung Naing Win,29,5.0,5.0,8.0,1.0,midfielder,
562478,Aramis Kouzine,28,8.0,4.0,5.0,1.0,attacker,60000.0
562483,Frank Castañeda,32,6.0,5.0,5.0,1.0,attacker,
562484,Oleg Vyshnevskyi,31,8.0,4.0,4.0,1.0,attacker,240000.0
562494,Danny Musovski,30,8.0,4.0,5.0,1.0,attacker,2500000.0
562553,Jon Gallagher,30,1.0,3.0,9.0,1.0,defender,1940000.0
562554,Wyatt Omsberg,31,3.0,2.0,9.0,1.0,defender,
562555,Brian White,30,8.0,4.0,5.0,1.0,attacker,5000000.0
562560,Álex Roldán,30,3.0,5.0,9.0,1.0,defender,3600000.0
562601,Souleymane Anne,28,1.0,4.0,1.0,1.0,attacker,440000.0
562648,Killian van Mil,27,6.0,6.0,5.0,1.0,attacker,
